,k,a0,sigma_2[1],sigma_2[2],a0_1[1],a0_1[2],k_1[1],k_1[2],sigma_a_0,sigma_a_1,sigma_k_1
0,0.00989447662995038,613.5390843463938,24.91011098464095,22.79007023439765,624.4874179963613,626.8357095796381,0.00600466738388129,0.005870699466482017,39.78066479389706,55.24144200630478,0.0003233839233153924
1,0.008142983663407863,626.5700311279676,24.48150238673779,22.545990968333392,626.1420806062839,627.3907723771897,0.006008996646195554,0.005848096024475469,1.9902176153168305,56.3292536045409,0.00036728303145524963
2,0.01034189499110612,632.1433542265194,25.41437259956439,22.831001177651988,628.7915008868722,626.9191336687591,0.006008286310864199,0.005858633139208161,8.041685490144488,56.99050059840845,0.00029910802487411435
3,0.00919652564801486,603.5139569147764,24.080628915332696,22.458574493134407,620.060847594297,630.6169933319089,0.005892113084556084,0.0058543765540347405,39.71376975384962,53.46745970068947,0.00031283374263746925
4,0.009945288310087268,620.4596487130077,25.1994395711642,22.43659376228378,620.4792931531925,632.2313307147083,0.005890599695553175,0.00584536372312391,12.659294566012,54.27760564016474,0.0003381683822009037
5,0.009273187561752123,618.1763785637228,25.333758766883548,22.77783270907257,618.6633960088383,630.9977062534649,0.005919785661743462,0.005829584183206,30.899340883648748,52.784716298283605,0.00036848708827754963
6,0.009686945750743784,616.8576893240222,24.29732023039673,22.50555845966701,612.441759164696,629.1184970833249,0.005993306166525308,0.005831518298467819,17.090432742161532,50.59005928111646,0.00033379339139645044
7,0.00972629677363165,616.3979889799142,25.263187127559448,22.818263669540745,612.8177032662778,632.2617519208502,0.006033385230460619,0.005811111818266193,31.280173341615445,49.504749443359955,0.0003988478806744916
8,0.00912944062418517,623.9237396397225,24.480911962745434,22.473009969487762,617.8462750532319,631.8910703683707,0.005980100795982953,0.005798352727745184,8.111392142554067,50.44569456365021,0.00035681567459980464
9,0.009084722471861843,632.296776836461,24.455064717972178,22.527444454990487,620.0022478180813,634.0826042477743,0.0059674035095541545,0.00582315974081302,10.80587960437728,51.30882463308307,0.000369315205039794
10,0.009000310713587848,622.0174457322099,25.062639725518714,22.81473505153728,625.8512016313501,632.497195815092,0.006122591392727365,0.005789567290208653,17.21205433851651,51.39840768161621,0.00034503856019312576
11,0.00993323577402019,628.935580794706,24.52944114798481,22.551070489867328,621.9649221588387,631.5338748261772,0.0060666024956383385,0.0058245601305552865,7.466884554157512,54.940985541107885,0.00030704616445531563
12,0.00948260861911984,616.5143010055256,25.127720115658178,22.565002404500962,621.01474677858,631.2277279968454,0.006045092003465703,0.005846165602882375,25.74271007722777,52.871993607262354,0.0003372018801997348
13,0.009327470166107093,619.4232416017182,24.951320370668768,22.647818276673497,621.9800854372737,632.5095480436729,0.006093064676595372,0.005838811185154844,13.981673405375075,53.230685157054204,0.0003452925414646368
14,0.010017346658556027,609.4825340817036,24.70720603835371,22.739669562761694,631.2456286904153,629.5942360021544,0.006041906981572535,0.005853575729955192,30.477519737201376,51.0243680672604,0.0003091524244964953
15,0.0089999440396208,632.2096554338684,24.58837303943116,22.509372897240848,626.8379401572727,627.7999687259563,0.005988131837450729,0.005843183901484397,7.410038936524315,50.47320122147946,0.00034083752350246585
