,label,area (sq µm),division_number,division_period
0,0,1037,0,0
1,1,577,0,0
2,2,583,0,0
3,3,579,0,0
4,4,582,0,0
5,5,580,0,0
6,6,597,0,0
7,7,599,0,0
8,8,598,0,0
9,9,588,0,0
10,10,591,0,0
11,11,610,0,0
12,12,595,0,0
13,13,598,0,0
14,14,618,0,0
15,15,642,0,0
16,16,621,0,0
17,17,620,0,0
18,18,626,0,0
19,19,630,0,0
20,20,632,0,0
21,21,647,0,0
22,22,657,0,0
23,23,634,0,0
24,24,648,0,0
25,25,653,0,0
26,26,650,0,0
27,27,657,0,0
28,28,671,0,0
29,29,674,0,0
30,30,672,0,0
31,31,679,0,0
32,32,672,0,0
33,33,679,0,0
34,34,698,0,0
35,35,710,0,0
36,36,698,0,0
37,37,706,0,0
38,38,692,0,0
39,39,717,0,0
40,40,710,0,0
41,41,718,0,0
42,42,729,0,0
43,43,734,0,0
44,44,734,0,0
45,45,736,0,0
46,46,739,0,0
47,47,748,0,0
48,48,758,0,0
49,49,763,0,0
50,50,762,0,0
51,51,769,0,0
52,52,781,0,0
53,53,774,0,0
54,54,785,0,0
55,55,801,0,0
56,56,801,0,0
57,57,803,0,0
58,58,807,0,0
59,59,810,0,0
60,60,913,0,0
61,61,818,0,0
62,62,831,0,0
63,63,830,0,0
64,64,837,0,0
65,65,841,0,0
66,66,845,0,0
67,67,841,0,0
68,68,858,0,0
69,69,865,0,0
70,70,858,0,0
71,71,868,0,0
72,72,872,0,0
73,73,879,0,0
74,74,887,0,0
75,75,885,0,0
76,76,907,0,0
77,77,904,0,0
78,78,907,0,0
79,79,922,0,0
80,80,926,0,0
81,81,922,0,0
82,82,1043,0,0
83,83,1051,0,0
84,84,943,0,0
85,85,949,0,0
86,86,971,0,0
87,87,967,0,0
88,88,971,0,0
89,89,983,0,0
90,90,979,0,0
91,91,1104,0,0
92,92,992,0,0
93,93,982,0,0
94,94,996,0,0
95,95,1011,0,0
96,96,1022,0,0
97,97,1021,0,0
98,98,1046,0,0
99,99,584,1,99
100,100,594,0,0
101,101,586,0,0
102,102,588,0,0
103,103,598,0,0
104,104,615,0,0
105,105,610,0,0
106,106,614,0,0
107,107,610,0,0
108,108,611,0,0
109,109,624,0,0
110,110,613,0,0
111,111,621,0,0
112,112,631,0,0
113,113,626,0,0
114,114,627,0,0
115,115,655,0,0
116,116,648,0,0
117,117,645,0,0
118,118,649,0,0
119,119,648,0,0
120,120,656,0,0
121,121,657,0,0
122,122,665,0,0
123,123,675,0,0
124,124,671,0,0
125,125,674,0,0
126,126,676,0,0
127,127,701,0,0
128,128,686,0,0
129,129,682,0,0
130,130,697,0,0
131,131,703,0,0
132,132,709,0,0
133,133,712,0,0
134,134,713,0,0
135,135,720,0,0
136,136,724,0,0
137,137,741,0,0
138,138,735,0,0
139,139,1037,0,0
140,140,731,0,0
141,141,770,0,0
142,142,743,0,0
143,143,777,0,0
144,144,769,0,0
145,145,773,0,0
146,146,777,0,0
147,147,765,0,0
148,148,771,0,0
149,149,780,0,0
150,150,787,0,0
151,151,801,0,0
152,152,796,0,0
153,153,807,0,0
154,154,807,0,0
155,155,808,0,0
156,156,825,0,0
157,157,821,0,0
158,158,837,0,0
159,159,830,0,0
160,160,849,0,0
161,161,841,0,0
162,162,843,0,0
163,163,852,0,0
164,164,854,0,0
165,165,853,0,0
166,166,856,0,0
167,167,867,0,0
168,168,880,0,0
169,169,883,0,0
170,170,885,0,0
171,171,906,0,0
172,172,895,0,0
173,173,891,0,0
174,174,907,0,0
175,175,929,0,0
176,176,918,0,0
177,177,920,0,0
178,178,939,0,0
179,179,953,0,0
180,180,939,0,0
181,181,964,0,0
182,182,957,0,0
183,183,963,0,0
184,184,992,0,0
185,185,972,0,0
186,186,974,0,0
187,187,984,0,0
188,188,1009,0,0
189,189,1009,0,0
190,190,1008,0,0
191,191,1017,0,0
192,192,1019,0,0
193,193,1029,0,0
194,194,1027,0,0
195,195,1045,0,0
196,196,596,2,97
197,197,597,0,0
198,198,603,0,0
199,199,596,0,0
200,200,594,0,0
201,201,600,0,0
202,202,613,0,0
203,203,608,0,0
204,204,614,0,0
205,205,630,0,0
206,206,617,0,0
207,207,630,0,0
208,208,628,0,0
209,209,634,0,0
210,210,643,0,0
211,211,650,0,0
212,212,654,0,0
213,213,658,0,0
214,214,648,0,0
215,215,667,0,0
216,216,654,0,0
217,217,672,0,0
218,218,680,0,0
219,219,678,0,0
220,220,675,0,0
221,221,679,0,0
222,222,685,0,0
223,223,700,0,0
224,224,702,0,0
225,225,700,0,0
226,226,703,0,0
227,227,711,0,0
228,228,708,0,0
229,229,722,0,0
230,230,716,0,0
231,231,731,0,0
232,232,732,0,0
233,233,745,0,0
234,234,749,0,0
235,235,752,0,0
236,236,745,0,0
237,237,750,0,0
238,238,775,0,0
239,239,767,0,0
240,240,791,0,0
241,241,780,0,0
242,242,782,0,0
243,243,784,0,0
244,244,789,0,0
245,245,786,0,0
246,246,798,0,0
247,247,808,0,0
248,248,807,0,0
249,249,815,0,0
250,250,820,0,0
251,251,824,0,0
252,252,822,0,0
253,253,830,0,0
254,254,838,0,0
255,255,837,0,0
256,256,846,0,0
257,257,856,0,0
258,258,857,0,0
259,259,860,0,0
260,260,877,0,0
261,261,874,0,0
262,262,878,0,0
263,263,885,0,0
264,264,889,0,0
265,265,897,0,0
266,266,896,0,0
267,267,910,0,0
268,268,912,0,0
269,269,926,0,0
270,270,924,0,0
271,271,933,0,0
272,272,939,0,0
273,273,949,0,0
274,274,942,0,0
275,275,963,0,0
276,276,961,0,0
277,277,974,0,0
278,278,973,0,0
279,279,976,0,0
280,280,990,0,0
281,281,988,0,0
282,282,984,0,0
283,283,1008,0,0
284,284,1014,0,0
285,285,1011,0,0
286,286,1029,0,0
287,287,1033,0,0
288,288,1049,0,0
289,289,1054,0,0
290,290,1054,0,0
291,291,1066,0,0
292,292,1056,0,0
293,293,1067,0,0
294,294,1068,0,0
295,295,1072,0,0
296,296,1081,0,0
297,297,1082,0,0
298,298,1099,0,0
299,299,583,3,103
300,300,588,0,0
301,301,591,0,0
302,302,596,0,0
303,303,599,0,0
304,304,603,0,0
305,305,609,0,0
306,306,611,0,0
307,307,615,0,0
308,308,617,0,0
309,309,619,0,0
310,310,621,0,0
311,311,626,0,0
312,312,627,0,0
313,313,633,0,0
314,314,641,0,0
315,315,643,0,0
316,316,647,0,0
317,317,656,0,0
318,318,656,0,0
319,319,669,0,0
320,320,671,0,0
321,321,675,0,0
322,322,681,0,0
323,323,673,0,0
324,324,679,0,0
325,325,683,0,0
326,326,678,0,0
327,327,695,0,0
328,328,695,0,0
329,329,712,0,0
330,330,708,0,0
331,331,719,0,0
332,332,723,0,0
333,333,728,0,0
334,334,733,0,0
335,335,729,0,0
336,336,737,0,0
337,337,739,0,0
338,338,742,0,0
339,339,754,0,0
340,340,757,0,0
341,341,763,0,0
342,342,776,0,0
343,343,771,0,0
344,344,765,0,0
345,345,768,0,0
346,346,802,0,0
347,347,795,0,0
348,348,802,0,0
349,349,799,0,0
350,350,815,0,0
351,351,814,0,0
352,352,811,0,0
353,353,828,0,0
354,354,826,0,0
355,355,829,0,0
356,356,840,0,0
357,357,835,0,0
358,358,849,0,0
359,359,859,0,0
360,360,859,0,0
361,361,865,0,0
362,362,875,0,0
363,363,866,0,0
364,364,877,0,0
365,365,888,0,0
366,366,896,0,0
367,367,897,0,0
368,368,904,0,0
369,369,918,0,0
370,370,907,0,0
371,371,924,0,0
372,372,931,0,0
373,373,934,0,0
374,374,933,0,0
375,375,944,0,0
376,376,947,0,0
377,377,956,0,0
378,378,955,0,0
379,379,965,0,0
380,380,965,0,0
381,381,973,0,0
382,382,991,0,0
383,383,987,0,0
384,384,1003,0,0
385,385,999,0,0
386,386,1018,0,0
387,387,1023,0,0
388,388,1024,0,0
389,389,1007,0,0
390,390,1024,0,0
391,391,1029,0,0
392,392,1042,0,0
393,393,1041,0,0
394,394,1063,0,0
395,395,1048,0,0
396,396,638,4,97
397,397,622,0,0
398,398,652,0,0
399,399,633,0,0
400,400,644,0,0
401,401,638,0,0
402,402,641,0,0
403,403,657,0,0
404,404,662,0,0
405,405,654,0,0
406,406,662,0,0
407,407,661,0,0
408,408,670,0,0
409,409,677,0,0
410,410,680,0,0
411,411,683,0,0
412,412,689,0,0
413,413,697,0,0
414,414,700,0,0
415,415,709,0,0
416,416,711,0,0
417,417,712,0,0
418,418,719,0,0
419,419,726,0,0
420,420,733,0,0
421,421,737,0,0
422,422,743,0,0
423,423,747,0,0
424,424,755,0,0
425,425,760,0,0
426,426,778,0,0
427,427,751,0,0
428,428,767,0,0
429,429,779,0,0
430,430,768,0,0
431,431,790,0,0
432,432,788,0,0
433,433,793,0,0
434,434,793,0,0
435,435,809,0,0
436,436,826,0,0
437,437,811,0,0
438,438,814,0,0
439,439,818,0,0
440,440,828,0,0
441,441,832,0,0
442,442,836,0,0
443,443,841,0,0
444,444,848,0,0
445,445,850,0,0
446,446,856,0,0
447,447,863,0,0
448,448,871,0,0
449,449,868,0,0
450,450,883,0,0
451,451,899,0,0
452,452,891,0,0
453,453,898,0,0
454,454,906,0,0
455,455,910,0,0
456,456,900,0,0
457,457,919,0,0
458,458,928,0,0
459,459,930,0,0
460,460,937,0,0
461,461,942,0,0
462,462,943,0,0
463,463,946,0,0
464,464,956,0,0
465,465,968,0,0
466,466,971,0,0
467,467,976,0,0
468,468,992,0,0
469,469,998,0,0
470,470,1005,0,0
471,471,1002,0,0
472,472,1008,0,0
473,473,1010,0,0
474,474,1022,0,0
475,475,1036,0,0
476,476,1030,0,0
477,477,1050,0,0
478,478,1049,0,0
479,479,1063,0,0
480,480,1162,0,0
481,481,1070,0,0
482,482,1078,0,0
483,483,1083,0,0
484,484,1192,0,0
485,485,1103,0,0
486,486,1113,0,0
487,487,1118,0,0
488,488,1123,0,0
489,489,1139,0,0
490,490,1135,0,0
491,491,1151,0,0
492,492,1151,0,0
493,493,1148,0,0
494,494,1139,0,0
495,495,1154,0,0
496,496,1156,0,0
497,497,1171,0,0
498,498,1179,0,0
499,499,1161,0,0
500,500,676,5,104
501,501,703,0,0
502,502,708,0,0
503,503,711,0,0
504,504,722,0,0
505,505,721,0,0
506,506,735,0,0
507,507,723,0,0
508,508,740,0,0
509,509,744,0,0
510,510,754,0,0
511,511,759,0,0
512,512,752,0,0
513,513,758,0,0
514,514,755,0,0
515,515,766,0,0
516,516,773,0,0
517,517,782,0,0
518,518,780,0,0
519,519,781,0,0
520,520,792,0,0
521,521,798,0,0
522,522,800,0,0
523,523,797,0,0
524,524,823,0,0
525,525,814,0,0
526,526,812,0,0
527,527,819,0,0
528,528,838,0,0
529,529,844,0,0
530,530,831,0,0
531,531,837,0,0
532,532,856,0,0
533,533,851,0,0
534,534,864,0,0
535,535,858,0,0
536,536,862,0,0
537,537,875,0,0
538,538,877,0,0
539,539,893,0,0
540,540,893,0,0
541,541,896,0,0
542,542,899,0,0
543,543,915,0,0
544,544,927,0,0
545,545,922,0,0
546,546,934,0,0
547,547,934,0,0
548,548,939,0,0
549,549,942,0,0
550,550,956,0,0
551,551,957,0,0
552,552,966,0,0
553,553,979,0,0
554,554,1027,0,0
555,555,988,0,0
556,556,991,0,0
557,557,987,0,0
558,558,1007,0,0
559,559,1013,0,0
560,560,1019,0,0
561,561,1018,0,0
562,562,1029,0,0
563,563,1034,0,0
564,564,1048,0,0
565,565,1057,0,0
566,566,1049,0,0
567,567,1059,0,0
568,568,1058,0,0
569,569,1074,0,0
570,570,1084,0,0
571,571,1091,0,0
572,572,1088,0,0
573,573,1090,0,0
574,574,1111,0,0
575,575,1124,0,0
576,576,1131,0,0
577,577,1129,0,0
578,578,1134,0,0
579,579,1149,0,0
580,580,1153,0,0
581,581,1164,0,0
582,582,1172,0,0
583,583,1185,0,0
584,584,1198,0,0
585,585,1206,0,0
586,586,1221,0,0
587,587,1232,0,0
588,588,1243,0,0
589,589,1236,0,0
590,590,1216,0,0
591,591,1236,0,0
592,592,1217,0,0
593,593,1226,0,0
594,594,1255,0,0
595,595,1252,0,0
596,596,706,6,96
597,597,712,0,0
598,598,723,0,0
599,599,722,0,0
600,600,732,0,0
601,601,735,0,0
602,602,725,0,0
603,603,740,0,0
604,604,735,0,0
605,605,748,0,0
606,606,755,0,0
607,607,759,0,0
608,608,764,0,0
609,609,766,0,0
610,610,776,0,0
611,611,777,0,0
612,612,783,0,0
613,613,784,0,0
614,614,794,0,0
615,615,807,0,0
616,616,810,0,0
617,617,815,0,0
618,618,812,0,0
619,619,824,0,0
620,620,823,0,0
621,621,829,0,0
622,622,829,0,0
623,623,826,0,0
624,624,842,0,0
625,625,848,0,0
626,626,841,0,0
627,627,860,0,0
628,628,860,0,0
629,629,871,0,0
630,630,878,0,0
631,631,888,0,0
632,632,895,0,0
633,633,890,0,0
634,634,894,0,0
635,635,903,0,0
636,636,906,0,0
637,637,916,0,0
638,638,920,0,0
639,639,920,0,0
640,640,932,0,0
641,641,943,0,0
642,642,945,0,0
643,643,958,0,0
644,644,952,0,0
645,645,959,0,0
646,646,964,0,0
647,647,968,0,0
648,648,976,0,0
649,649,991,0,0
650,650,998,0,0
651,651,1007,0,0
652,652,1011,0,0
653,653,1012,0,0
654,654,1022,0,0
655,655,1017,0,0
656,656,1024,0,0
657,657,1033,0,0
658,658,1055,0,0
659,659,1065,0,0
660,660,1052,0,0
661,661,1076,0,0
662,662,1074,0,0
663,663,1086,0,0
664,664,1091,0,0
665,665,1096,0,0
666,666,1090,0,0
667,667,1112,0,0
668,668,1109,0,0
669,669,1120,0,0
670,670,1124,0,0
671,671,1138,0,0
672,672,1140,0,0
673,673,1150,0,0
674,674,1150,0,0
675,675,1175,0,0
676,676,1173,0,0
677,677,1190,0,0
678,678,1194,0,0
679,679,1224,0,0
680,680,1191,0,0
681,681,1194,0,0
682,682,1202,0,0
683,683,1210,0,0
684,684,1202,0,0
685,685,1206,0,0
686,686,1180,0,0
687,687,682,7,91
688,688,678,0,0
689,689,687,0,0
690,690,678,0,0
691,691,684,0,0
692,692,693,0,0
693,693,695,0,0
694,694,703,0,0
695,695,705,0,0
696,696,706,0,0
697,697,726,0,0
698,698,717,0,0
699,699,717,0,0
700,700,730,0,0
701,701,730,0,0
702,702,742,0,0
703,703,740,0,0
704,704,740,0,0
705,705,738,0,0
706,706,747,0,0
707,707,753,0,0
708,708,763,0,0
709,709,769,0,0
710,710,768,0,0
711,711,778,0,0
712,712,776,0,0
713,713,776,0,0
714,714,784,0,0
715,715,794,0,0
716,716,794,0,0
717,717,802,0,0
718,718,808,0,0
719,719,809,0,0
720,720,817,0,0
721,721,832,0,0
722,722,823,0,0
723,723,826,0,0
724,724,840,0,0
725,725,848,0,0
726,726,841,0,0
727,727,851,0,0
728,728,857,0,0
729,729,864,0,0
730,730,868,0,0
731,731,879,0,0
732,732,892,0,0
733,733,891,0,0
734,734,906,0,0
735,735,896,0,0
736,736,914,0,0
737,737,919,0,0
738,738,920,0,0
739,739,939,0,0
740,740,937,0,0
741,741,946,0,0
742,742,948,0,0
743,743,948,0,0
744,744,946,0,0
745,745,956,0,0
746,746,971,0,0
747,747,975,0,0
748,748,979,0,0
749,749,983,0,0
750,750,989,0,0
751,751,1002,0,0
752,752,1000,0,0
753,753,1017,0,0
754,754,1026,0,0
755,755,1047,0,0
756,756,1029,0,0
757,757,1031,0,0
758,758,1055,0,0
759,759,1051,0,0
760,760,1068,0,0
761,761,1064,0,0
762,762,1080,0,0
763,763,1086,0,0
764,764,1094,0,0
765,765,1099,0,0
766,766,1127,0,0
767,767,1109,0,0
768,768,1121,0,0
769,769,1135,0,0
770,770,1140,0,0
771,771,1139,0,0
772,772,1124,0,0
773,773,1141,0,0
774,774,1118,0,0
775,775,624,8,88
776,776,635,0,0
777,777,646,0,0
778,778,644,0,0
779,779,641,0,0
780,780,650,0,0
781,781,651,0,0
782,782,654,0,0
783,783,666,0,0
784,784,670,0,0
785,785,667,0,0
786,786,672,0,0
787,787,671,0,0
788,788,689,0,0
789,789,690,0,0
790,790,685,0,0
791,791,726,0,0
792,792,703,0,0
793,793,703,0,0
794,794,716,0,0
795,795,725,0,0
796,796,723,0,0
797,797,725,0,0
798,798,727,0,0
799,799,734,0,0
800,800,739,0,0
801,801,742,0,0
802,802,745,0,0
803,803,746,0,0
804,804,758,0,0
805,805,758,0,0
806,806,766,0,0
807,807,756,0,0
808,808,767,0,0
809,809,778,0,0
810,810,782,0,0
811,811,791,0,0
812,812,793,0,0
813,813,793,0,0
814,814,801,0,0
815,815,814,0,0
816,816,804,0,0
817,817,805,0,0
818,818,833,0,0
819,819,827,0,0
820,820,828,0,0
821,821,830,0,0
822,822,842,0,0
823,823,853,0,0
824,824,847,0,0
825,825,845,0,0
826,826,868,0,0
827,827,866,0,0
828,828,866,0,0
829,829,882,0,0
830,830,889,0,0
831,831,900,0,0
832,832,897,0,0
833,833,900,0,0
834,834,909,0,0
835,835,915,0,0
836,836,922,0,0
837,837,922,0,0
838,838,928,0,0
839,839,947,0,0
840,840,931,0,0
841,841,948,0,0
842,842,950,0,0
843,843,962,0,0
844,844,963,0,0
845,845,967,0,0
846,846,976,0,0
847,847,990,0,0
848,848,994,0,0
849,849,987,0,0
850,850,1001,0,0
851,851,1010,0,0
852,852,1013,0,0
853,853,1017,0,0
854,854,1027,0,0
855,855,1032,0,0
856,856,1029,0,0
857,857,1035,0,0
858,858,1049,0,0
859,859,1061,0,0
860,860,1066,0,0
861,861,1066,0,0
