,label,area (sq µm),division_number,division_period
862,862,1072,0,0
863,863,1077,0,0
864,864,1084,0,0
865,865,1090,0,0
866,866,1108,0,0
867,867,1108,0,0
868,868,1112,0,0
869,869,1128,0,0
870,870,1125,0,0
871,871,1146,0,0
872,872,1131,0,0
873,873,1143,0,0
874,874,1148,0,0
875,875,1166,0,0
876,876,1155,0,0
877,877,633,9,102
878,878,654,0,0
879,879,642,0,0
880,880,653,0,0
881,881,657,0,0
882,882,669,0,0
883,883,672,0,0
884,884,660,0,0
885,885,664,0,0
886,886,681,0,0
887,887,682,0,0
888,888,688,0,0
889,889,688,0,0
890,890,689,0,0
891,891,699,0,0
892,892,699,0,0
893,893,709,0,0
894,894,707,0,0
895,895,720,0,0
896,896,718,0,0
897,897,725,0,0
898,898,732,0,0
899,899,731,0,0
900,900,739,0,0
901,901,735,0,0
902,902,742,0,0
903,903,748,0,0
904,904,759,0,0
905,905,752,0,0
906,906,758,0,0
907,907,760,0,0
908,908,770,0,0
909,909,776,0,0
910,910,787,0,0
911,911,786,0,0
912,912,793,0,0
913,913,799,0,0
914,914,798,0,0
915,915,809,0,0
916,916,814,0,0
917,917,816,0,0
918,918,817,0,0
919,919,827,0,0
920,920,836,0,0
921,921,833,0,0
922,922,842,0,0
923,923,845,0,0
924,924,852,0,0
925,925,856,0,0
926,926,862,0,0
927,927,855,0,0
928,928,879,0,0
929,929,874,0,0
930,930,886,0,0
931,931,891,0,0
932,932,892,0,0
933,933,894,0,0
934,934,913,0,0
935,935,905,0,0
936,936,910,0,0
937,937,922,0,0
938,938,932,0,0
939,939,928,0,0
940,940,939,0,0
941,941,938,0,0
942,942,954,0,0
943,943,952,0,0
944,944,957,0,0
945,945,953,0,0
946,946,968,0,0
947,947,983,0,0
948,948,991,0,0
949,949,992,0,0
950,950,993,0,0
951,951,1066,0,0
952,952,1001,0,0
953,953,1012,0,0
954,954,1025,0,0
955,955,1027,0,0
956,956,1033,0,0
957,957,1040,0,0
958,958,1042,0,0
959,959,1057,0,0
960,960,1045,0,0
961,961,1061,0,0
962,962,1075,0,0
963,963,1080,0,0
964,964,1083,0,0
965,965,1089,0,0
966,966,1095,0,0
967,967,1088,0,0
968,968,1114,0,0
969,969,1104,0,0
970,970,1117,0,0
971,971,1114,0,0
972,972,658,10,95
973,973,665,0,0
974,974,665,0,0
975,975,668,0,0
976,976,670,0,0
977,977,668,0,0
978,978,675,0,0
979,979,681,0,0
980,980,684,0,0
981,981,693,0,0
982,982,701,0,0
983,983,695,0,0
984,984,706,0,0
985,985,709,0,0
986,986,710,0,0
987,987,722,0,0
988,988,725,0,0
989,989,727,0,0
990,990,738,0,0
991,991,735,0,0
992,992,742,0,0
993,993,750,0,0
994,994,751,0,0
995,995,752,0,0
996,996,766,0,0
997,997,762,0,0
998,998,772,0,0
999,999,774,0,0
1000,1000,773,0,0
1001,1001,789,0,0
1002,1002,783,0,0
1003,1003,803,0,0
1004,1004,804,0,0
1005,1005,801,0,0
1006,1006,810,0,0
1007,1007,815,0,0
1008,1008,822,0,0
1009,1009,827,0,0
1010,1010,830,0,0
1011,1011,836,0,0
1012,1012,845,0,0
1013,1013,842,0,0
1014,1014,847,0,0
1015,1015,848,0,0
1016,1016,867,0,0
1017,1017,861,0,0
1018,1018,873,0,0
1019,1019,880,0,0
1020,1020,881,0,0
1021,1021,884,0,0
1022,1022,888,0,0
1023,1023,898,0,0
1024,1024,903,0,0
1025,1025,920,0,0
1026,1026,920,0,0
1027,1027,929,0,0
1028,1028,923,0,0
1029,1029,930,0,0
1030,1030,937,0,0
1031,1031,950,0,0
1032,1032,947,0,0
1033,1033,959,0,0
1034,1034,963,0,0
1035,1035,967,0,0
1036,1036,980,0,0
1037,1037,982,0,0
1038,1038,987,0,0
1039,1039,993,0,0
1040,1040,1005,0,0
1041,1041,1011,0,0
1042,1042,1015,0,0
1043,1043,1010,0,0
1044,1044,1020,0,0
1045,1045,1035,0,0
1046,1046,1023,0,0
1047,1047,1036,0,0
1048,1048,1041,0,0
1049,1049,1043,0,0
1050,1050,1049,0,0
1051,1051,1062,0,0
1052,1052,1059,0,0
1053,1053,1060,0,0
1054,1054,1066,0,0
1055,1055,1070,0,0
1056,1056,1097,0,0
1057,1057,1089,0,0
1058,1058,1093,0,0
1059,1059,1099,0,0
1060,1060,1119,0,0
1061,1061,1127,0,0
1062,1062,1121,0,0
1063,1063,0,0,0
1064,1064,1147,0,0
1065,1065,1162,0,0
1066,1066,809,11,94
1067,1067,660,0,0
1068,1068,660,0,0
1069,1069,666,0,0
1070,1070,667,0,0
1071,1071,676,0,0
1072,1072,685,0,0
1073,1073,685,0,0
1074,1074,697,0,0
1075,1075,690,0,0
1076,1076,695,0,0
1077,1077,711,0,0
1078,1078,696,0,0
1079,1079,708,0,0
1080,1080,715,0,0
1081,1081,719,0,0
1082,1082,721,0,0
1083,1083,723,0,0
1084,1084,736,0,0
1085,1085,732,0,0
1086,1086,743,0,0
1087,1087,755,0,0
1088,1088,743,0,0
1089,1089,751,0,0
1090,1090,758,0,0
1091,1091,764,0,0
1092,1092,770,0,0
1093,1093,780,0,0
1094,1094,777,0,0
1095,1095,780,0,0
1096,1096,793,0,0
1097,1097,794,0,0
1098,1098,802,0,0
1099,1099,805,0,0
1100,1100,807,0,0
1101,1101,818,0,0
1102,1102,826,0,0
1103,1103,836,0,0
1104,1104,832,0,0
1105,1105,830,0,0
1106,1106,849,0,0
1107,1107,849,0,0
1108,1108,848,0,0
1109,1109,862,0,0
1110,1110,866,0,0
1111,1111,871,0,0
1112,1112,868,0,0
1113,1113,883,0,0
1114,1114,882,0,0
1115,1115,886,0,0
1116,1116,892,0,0
1117,1117,897,0,0
1118,1118,911,0,0
1119,1119,912,0,0
1120,1120,925,0,0
1121,1121,926,0,0
1122,1122,929,0,0
1123,1123,937,0,0
1124,1124,954,0,0
1125,1125,946,0,0
1126,1126,957,0,0
1127,1127,963,0,0
1128,1128,969,0,0
1129,1129,975,0,0
1130,1130,984,0,0
1131,1131,982,0,0
1132,1132,1003,0,0
1133,1133,1001,0,0
1134,1134,1014,0,0
1135,1135,1015,0,0
1136,1136,1017,0,0
1137,1137,1020,0,0
1138,1138,1029,0,0
1139,1139,1038,0,0
1140,1140,1048,0,0
1141,1141,1048,0,0
1142,1142,1059,0,0
1143,1143,1065,0,0
1144,1144,1078,0,0
1145,1145,1079,0,0
1146,1146,1083,0,0
1147,1147,1095,0,0
1148,1148,1105,0,0
1149,1149,1102,0,0
1150,1150,1111,0,0
1151,1151,1261,0,0
1152,1152,1269,0,0
1153,1153,1146,0,0
1154,1154,1147,0,0
1155,1155,1174,0,0
1156,1156,1170,0,0
1157,1157,0,0,0
1158,1158,1171,0,0
1159,1159,1176,0,0
1160,1160,636,12,94
1161,1161,643,0,0
1162,1162,644,0,0
1163,1163,650,0,0
1164,1164,661,0,0
1165,1165,652,0,0
1166,1166,670,0,0
1167,1167,687,0,0
1168,1168,666,0,0
1169,1169,677,0,0
1170,1170,684,0,0
1171,1171,679,0,0
1172,1172,695,0,0
1173,1173,697,0,0
1174,1174,697,0,0
1175,1175,709,0,0
1176,1176,718,0,0
1177,1177,713,0,0
1178,1178,722,0,0
1179,1179,721,0,0
1180,1180,723,0,0
1181,1181,732,0,0
1182,1182,732,0,0
1183,1183,742,0,0
1184,1184,748,0,0
1185,1185,756,0,0
1186,1186,762,0,0
1187,1187,761,0,0
1188,1188,764,0,0
1189,1189,771,0,0
1190,1190,787,0,0
1191,1191,781,0,0
1192,1192,796,0,0
1193,1193,787,0,0
1194,1194,787,0,0
1195,1195,811,0,0
1196,1196,806,0,0
1197,1197,821,0,0
1198,1198,827,0,0
1199,1199,827,0,0
1200,1200,824,0,0
1201,1201,830,0,0
1202,1202,835,0,0
1203,1203,831,0,0
1204,1204,843,0,0
1205,1205,857,0,0
1206,1206,852,0,0
1207,1207,859,0,0
1208,1208,862,0,0
1209,1209,875,0,0
1210,1210,880,0,0
1211,1211,892,0,0
1212,1212,897,0,0
1213,1213,890,0,0
1214,1214,905,0,0
1215,1215,919,0,0
1216,1216,909,0,0
1217,1217,921,0,0
1218,1218,928,0,0
1219,1219,927,0,0
1220,1220,945,0,0
1221,1221,947,0,0
1222,1222,951,0,0
1223,1223,948,0,0
1224,1224,958,0,0
1225,1225,973,0,0
1226,1226,973,0,0
1227,1227,982,0,0
1228,1228,982,0,0
1229,1229,1000,0,0
1230,1230,998,0,0
1231,1231,1001,0,0
1232,1232,1016,0,0
1233,1233,1027,0,0
1234,1234,1021,0,0
1235,1235,1035,0,0
1236,1236,1044,0,0
1237,1237,1041,0,0
1238,1238,1047,0,0
1239,1239,1053,0,0
1240,1240,1068,0,0
1241,1241,1077,0,0
1242,1242,1076,0,0
1243,1243,1084,0,0
1244,1244,1090,0,0
1245,1245,1109,0,0
1246,1246,1124,0,0
1247,1247,1128,0,0
1248,1248,1128,0,0
1249,1249,1121,0,0
1250,1250,1138,0,0
1251,1251,1126,0,0
1252,1252,1113,0,0
1253,1253,1116,0,0
1254,1254,1129,0,0
1255,1255,1118,0,0
1256,1256,1130,0,0
1257,1257,1140,0,0
1258,1258,1154,0,0
1259,1259,1151,0,0
1260,1260,1162,0,0
1261,1261,1195,0,0
1262,1262,1325,0,0
1263,1263,0,0,0
1264,1264,1224,0,0
1265,1265,1213,0,0
1266,1266,0,0,0
1267,1267,682,13,107
1268,1268,683,0,0
1269,1269,683,0,0
1270,1270,696,0,0
1271,1271,698,0,0
1272,1272,699,0,0
1273,1273,715,0,0
1274,1274,712,0,0
1275,1275,719,0,0
1276,1276,721,0,0
1277,1277,729,0,0
1278,1278,733,0,0
1279,1279,734,0,0
1280,1280,746,0,0
1281,1281,751,0,0
1282,1282,754,0,0
1283,1283,761,0,0
1284,1284,762,0,0
1285,1285,760,0,0
1286,1286,768,0,0
1287,1287,777,0,0
1288,1288,783,0,0
1289,1289,782,0,0
1290,1290,784,0,0
1291,1291,799,0,0
1292,1292,798,0,0
1293,1293,806,0,0
1294,1294,809,0,0
1295,1295,812,0,0
1296,1296,822,0,0
1297,1297,831,0,0
1298,1298,825,0,0
1299,1299,844,0,0
1300,1300,837,0,0
1301,1301,853,0,0
1302,1302,857,0,0
1303,1303,859,0,0
